Slot,Address,Speed,Status,Use,Updated,Release,Consisted,Consist,Throttle ID,Dir,F0,F1,F2,F3,F4,F5,F6,F7,F8
291,953,"        0",128 step,Idle,11:29:03,Release,none,0,64 45,Rev,false,false,false,false,false,false,false,false,false
292,3233,"        0",128 step,Idle,11:29:03,Release,none,0,6F 7A,Rev,true,false,false,false,false,false,false,false,false
293,2285,"        0",128 step,Idle,11:29:03,Release,none,0,6D 35,Fwd,true,false,false,false,false,false,false,false,true
294,651,"        0",128 step,Idle,11:29:03,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
295,3,"        0",128 step,Idle,11:29:03,Release,none,0,6F 52,Fwd,false,false,false,false,false,false,false,false,false
296,5321,"        0",128 step,Idle,11:29:03,Release,none,0,6F 2A,Rev,false,false,false,false,false,false,false,false,false
297,931,"        0",128 step,Idle,11:29:03,Release,none,0,6D 2D,Fwd,false,false,false,false,false,false,false,false,false
298,944,"        0",128 step,Idle,11:29:03,Release,none,0,65 0A,Fwd,true,false,false,false,false,false,false,false,false
299,765,"        0",128 step,Idle,11:29:03,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,false
300,3096,(Consist),128 step,Common,11:36:35,Release,sub(16),3105,42 15,Rev,false,false,false,false,false,false,false,false,true
301,3113,(Consist),<unknown>,Common,11:36:35,Release,sub(16),3105,42 15,Fwd,false,false,false,false,false,false,false,false,false
302,7619,"        0",128 step,Idle,11:29:03,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,false
303,2796,"        0",<unknown>,Idle,11:29:03,Release,none,0,6F 7A,Fwd,true,false,false,false,false,false,false,false,false
304,1771,"        0",128 step,Idle,11:29:03,Release,none,0,42 13,Fwd,false,false,false,false,false,false,false,false,false
305,3204,"        0",128 step,Idle,11:29:03,Release,none,0,65 6B,Fwd,false,false,false,false,false,false,false,false,false
306,574,"        0",128 step,Idle,11:29:03,Release,none,0,6D 44,Fwd,false,false,false,false,false,false,false,false,false
307,5704,"        0",128 step,Idle,11:29:03,Release,none,0,6D 45,Fwd,true,false,false,false,false,false,false,false,false
308,3117,"        0",128 step,Idle,11:29:03,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,false
309,8358,"        0",128 step,Idle,11:29:03,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,false
310,461,"        0",<unknown>,Idle,11:29:04,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
311,6758,"        0",128 step,Idle,11:29:04,Release,none,0,65 0A,Fwd,true,false,false,false,false,false,true,false,true
312,182,"        0",128 step,Idle,11:29:04,Release,none,0,00 00,Fwd,false,false,false,false,false,false,false,false,false
313,7658,"        0",128 step,Idle,11:29:04,Release,none,0,6D 34,Fwd,false,false,false,false,false,false,false,false,false
314,2658,"        0",128 step,Idle,11:29:04,Release,none,0,6D 34,Fwd,false,false,false,false,false,false,false,false,false
315,3658,"        0",128 step,Idle,11:29:04,Release,none,0,6D 34,Fwd,false,false,false,false,false,false,false,false,false
316,4999,"        0",128 step,Idle,11:29:04,Release,none,0,74 28,Fwd,false,false,false,false,false,false,false,false,false
317,9378,"        0",<unknown>,Idle,11:29:04,Release,none,0,6F 7B,Fwd,false,false,false,false,false,false,false,false,false
318,5699,"        0",<unknown>,Idle,11:29:04,Release,none,0,6F 7A,Fwd,false,false,false,false,false,false,false,false,false
319,4358,"        0",128 step,Idle,11:29:04,Release,none,0,53 67,Fwd,true,false,false,false,false,false,true,false,false
320,5318,"        0",128 step,Idle,11:29:04,Release,none,0,42 15,Fwd,false,false,false,false,false,false,false,false,true
321,300,"        0",128 step,Idle,11:29:04,Release,none,0,53 17,Rev,false,false,false,false,false,false,true,false,false
322,7617,"        0",128 step,Idle,11:29:04,Release,none,0,42 13,Fwd,false,false,false,false,false,false,false,false,false
323,6437,"        0",128 step,Idle,11:29:04,Release,none,0,02 71,Fwd,true,false,false,false,false,false,false,false,false
324,311,"        0",128 step,Idle,11:29:04,Release,none,0,42 15,Rev,false,false,false,false,false,false,false,false,false
